"","Country","year","LogGDPcap","FLPR"
"1","ABW",1990,37140.02466,NA
"2","ABW",1991,38562.96062,NA
"3","ABW",1992,38669.3749,NA
"4","ABW",1993,39051.99597,NA
"5","ABW",1994,39944.11143,NA
"6","ABW",1995,39113.47165,NA
"7","ABW",1996,38209.19543,NA
"8","ABW",1997,39824.29092,NA
"9","ABW",1998,39767.78939,NA
"10","ABW",1999,39478.49433,NA
"11","ABW",2000,41621.23267,NA
"12","ABW",2001,39495.5578,NA
"13","ABW",2002,37360.47577,NA
"14","ABW",2003,37303.33269,NA
"15","ABW",2004,39553.37407,NA
"16","ABW",2005,39515.8146,NA
"17","ABW",2006,39613.76247,NA
"18","ABW",2007,40172.3172,NA
"19","ABW",2008,40083.20968,NA
"20","ABW",2009,35831.20431,NA
"21","ABW",2010,34437.49417,NA
"22","ABW",2011,35490.18398,NA
"23","ABW",2012,34825.20404,NA
"24","ABW",2013,36072.73142,NA
"25","ABW",2014,36165.61478,NA
"26","ABW",2015,35814.26144,NA
"27","ABW",2016,35574.61783,NA
"28","ABW",2017,35896.57795,NA
"29","ABW",2018,NA,NA
"30","AFG",1990,NA,43.11500168
"31","AFG",1991,NA,43.12400055
"32","AFG",1992,NA,43.12900162
"33","AFG",1993,NA,43.0719986
"34","AFG",1994,NA,43.00299835
"35","AFG",1995,NA,43.01699829
"36","AFG",1996,NA,42.77000046
"37","AFG",1997,NA,42.55400085
"38","AFG",1998,NA,42.4129982
"39","AFG",1999,NA,42.33399963
"40","AFG",2000,NA,42.27399826
"41","AFG",2001,NA,42.53900146
"42","AFG",2002,1044.950373,42.89899826
"43","AFG",2003,1083.749469,43.2859993
"44","AFG",2004,1051.039528,43.6609993
"45","AFG",2005,1124.684306,44.02500153
"46","AFG",2006,1147.291911,43.59700012
"47","AFG",2007,1270.430271,43.19200134
"48","AFG",2008,1287.534365,42.8730011
"49","AFG",2009,1523.302341,42.70899963
"50","AFG",2010,1693.770199,42.73500061
"51","AFG",2011,1649.150373,43.32799911
"52","AFG",2012,1799.585351,44.11700058
"53","AFG",2013,1838.406701,45.03900146
"54","AFG",2014,1829.327005,46.01699829
"55","AFG",2015,1802.04952,47.00099945
"56","AFG",2016,1793.886474,47.76599884
"57","AFG",2017,1796.392531,48.47399902
"58","AFG",2018,NA,48.65999985
"59","AGO",1990,4634.856841,74.94499969
"60","AGO",1991,4538.366674,74.8789978
"61","AGO",1992,4136.684168,74.8259964
"62","AGO",1993,3042.422055,74.78199768
"63","AGO",1994,2985.702419,74.76999664
"64","AGO",1995,3330.641724,74.78399658
"65","AGO",1996,3675.303916,74.78299713
"66","AGO",1997,3836.388351,74.80599976
"67","AGO",1998,3908.766824,74.84600067
"68","AGO",1999,3882.489994,74.89399719
"69","AGO",2000,3881.5566,74.94100189
"70","AGO",2001,3915.648083,74.96199799
"71","AGO",2002,4301.471102,74.98400116
"72","AGO",2003,4276.582918,75.01100159
"73","AGO",2004,4578.40161,75.04799652
"74","AGO",2005,5081.488828,75.09400177
"75","AGO",2006,5469.704874,75.12599945
"76","AGO",2007,6017.641547,75.16500092
"77","AGO",2008,6455.397306,75.20899963
"78","AGO",2009,6282.693748,75.2559967
"79","AGO",2010,6356.934991,75.30699921
"80","AGO",2011,6346.944372,75.34400177
"81","AGO",2012,6648.205057,75.38899994
"82","AGO",2013,6735.461021,75.43299866
"83","AGO",2014,6818.446016,75.46499634
"84","AGO",2015,6650.838253,75.47899628
"85","AGO",2016,6264.680082,75.47000122
"86","AGO",2017,6051.579368,75.4509964
"87","AGO",2018,NA,75.41200256
"88","ALB",1990,4558.348595,53.77099991
"89","ALB",1991,3228.985019,56.29600143
"90","ALB",1992,3014.725114,56.68700027
"91","ALB",1993,3324.361083,55.74700165
"92","ALB",1994,3622.452465,54.90399933
"93","ALB",1995,4129.669137,53.74599838
"94","ALB",1996,4533.558231,53.07500076
"95","ALB",1997,4063.830777,53.81200027
"96","ALB",1998,4450.588166,53.15399933
"97","ALB",1999,5056.191286,52.25400162
"98","ALB",2000,5442.172335,51.76900101
"99","ALB",2001,5948.895901,51.11000061
"100","ALB",2002,6237.653024,50.67900085
"101","ALB",2003,6607.270093,49.75899887
"102","ALB",2004,7000.527022,48.87799835
"103","ALB",2005,7425.562377,48.05099869
"104","ALB",2006,7913.440175,47.38899994
"105","ALB",2007,8450.28358,46.8030014
"106","ALB",2008,9154.028831,46.26900101
"107","ALB",2009,9524.659119,44.94499969
"108","ALB",2010,9927.18654,45.69300079
"109","ALB",2011,10207.75352,47.10400009
"110","ALB",2012,10369.81534,48.80599976
"111","ALB",2013,10492.71975,44.65000153
"112","ALB",2014,10700.57319,44.78900146
"113","ALB",2015,10970.02479,47.67599869
"114","ALB",2016,11355.6616,47.45899963
"115","ALB",2017,11802.06261,47.31200027
"116","ALB",2018,NA,47.19100189
"117","AND",1990,NA,NA
"118","AND",1991,NA,NA
"119","AND",1992,NA,NA
"120","AND",1993,NA,NA
"121","AND",1994,NA,NA
"122","AND",1995,NA,NA
"123","AND",1996,NA,NA
"124","AND",1997,NA,NA
"125","AND",1998,NA,NA
"126","AND",1999,NA,NA
"127","AND",2000,NA,NA
"128","AND",2001,NA,NA
"129","AND",2002,NA,NA
"130","AND",2003,NA,NA
"131","AND",2004,NA,NA
"132","AND",2005,NA,NA
"133","AND",2006,NA,NA
"134","AND",2007,NA,NA
"135","AND",2008,NA,NA
"136","AND",2009,NA,NA
"137","AND",2010,NA,NA
"138","AND",2011,NA,NA
"139","AND",2012,NA,NA
"140","AND",2013,NA,NA
"141","AND",2014,NA,NA
"142","AND",2015,NA,NA
"143","AND",2016,NA,NA
"144","AND",2017,NA,NA
"145","AND",2018,NA,NA
"146","ARE",1990,110432.465,28.21199989
"147","ARE",1991,105171.4096,28.87899971
"148","ARE",1992,102615.1703,29.51199913
"149","ARE",1993,98224.51647,30.30900002
"150","ARE",1994,99529.78072,30.80800056
"151","ARE",1995,100976.9451,31.25900078
"152","ARE",1996,101754.2957,31.55900002
"153","ARE",1997,104829.0273,31.96199989
"154","ARE",1998,100018.1038,32.49000168
"155","ARE",1999,97753.82842,33.10200119
"156","ARE",2000,102634.9243,33.71900177
"157","ARE",2001,98716.97042,34.06900024
"158","ARE",2002,95894.91443,34.61999893
"159","ARE",2003,97790.1774,35.35499954
"160","ARE",2004,98076.53316,36.23199844
"161","ARE",2005,91798.25991,37.17300034
"162","ARE",2006,88086.35738,38.29299927
"163","ARE",2007,78830.27664,39.57500076
"164","ARE",2008,71314.66882,41.0019989
"165","ARE",2009,60769.86103,42.51499939
"166","ARE",2010,57232.61808,44.02899933
"167","ARE",2011,58363.67822,45.14300156
"168","ARE",2012,59419.08949,46.21300125
"169","ARE",2013,61688.3803,47.26300049
"170","ARE",2014,63943.18583,48.32300186
"171","ARE",2015,66569.40341,49.39599991
"172","ARE",2016,67705.94933,50.16199875
"173","ARE",2017,67293.48276,51.26699829
"174","ARE",2018,NA,51.14899826
"175","ARG",1990,11334.22261,43.17499924
"176","ARG",1991,12196.41792,44.61000061
"177","ARG",1992,12984.06817,46.10100174
"178","ARG",1993,13861.94618,47.10800171
"179","ARG",1994,14481.1082,48.06200027
"180","ARG",1995,13893.52266,48.10599899
"181","ARG",1996,14485.50768,48.97600174
"182","ARG",1997,15479.37913,50.02199936
"183","ARG",1998,15894.55805,50.61000061
"184","ARG",1999,15186.1302,50.41999817
